init_name;avi_name;order;family
DUSKY ROBIN;Dusky Robin;Passeriformes;Petroicidae
EARED PITA;Eared Pitta;Passeriformes;Pittidae
EASTERN BLUEBIRD;Eastern Bluebird;Passeriformes;Turdidae
EASTERN BLUEBONNET;Eastern Bluebonnet;Psittaciformes;Psittaculidae
EASTERN GOLDEN WEAVER;African Golden-Weaver;Passeriformes;Ploceidae
EASTERN MEADOWLARK;Eastern Meadowlark;Passeriformes;Icteridae
EASTERN ROSELLA;Eastern Rosella;Psittaciformes;Psittaculidae
EASTERN TOWEE;Eastern Towhee;Passeriformes;Passerellidae
EASTERN WIP POOR WILL;Eastern Whip-poor-will;Caprimulgiformes;Caprimulgidae
EASTERN YELLOW ROBIN;Yellow Robin;Passeriformes;Petroicidae
ECUADORIAN HILLSTAR;Ecuadorian Hillstar;Apodiformes;Trochilidae
EGYPTIAN GOOSE;Egyptian Goose;Anseriformes;Anatidae
ELEGANT TROGON;Elegant Trogon;Trogoniformes;Trogonidae
ELLIOTS  PHEASANT;Elliot's Pheasant;Galliformes;Phasianidae
EMERALD TANAGER;Emerald Tanager;Passeriformes;Thraupidae
EMPEROR PENGUIN;Emperor Penguin;Sphenisciformes;Spheniscidae
EMU;Emu;Casuariiformes;Casuariidae
ENGGANO MYNA;Common Hill Myna;Passeriformes;Sturnidae
EURASIAN BULLFINCH;Eurasian Bullfinch;Passeriformes;Fringillidae
EURASIAN GOLDEN ORIOLE;Eurasian Golden-Oriole;Passeriformes;Oriolidae
EURASIAN MAGPIE;Eurasian Magpie;Passeriformes;Corvidae
EUROPEAN GOLDFINCH;European Goldfinch;Passeriformes;Fringillidae
EUROPEAN TURTLE DOVE;European Turtle-Dove;Columbiformes;Columbidae
EVENING GROSBEAK;Evening Grosbeak;Passeriformes;Fringillidae
FAIRY BLUEBIRD;Philippine Fairy-bluebird;Passeriformes;Irenidae
FAIRY PENGUIN;Little Penguin;Sphenisciformes;Spheniscidae
FAIRY TERN;Fairy Tern;Charadriiformes;Laridae
FAN TAILED WIDOW;Fan-tailed Widowbird;Passeriformes;Ploceidae
FASCIATED WREN;Fasciated Wren;Passeriformes;Troglodytidae
FIERY MINIVET;Small Minivet;Passeriformes;Campephagidae
FIORDLAND PENGUIN;Fiordland Penguin;Sphenisciformes;Spheniscidae
FIRE TAILLED MYZORNIS;Fire-tailed Myzornis;Passeriformes;Sylviidae
FLAME BOWERBIRD;Masked Bowerbird;Passeriformes;Ptilonorhynchidae
FLAME TANAGER;Flame-colored Tanager;Passeriformes;Cardinalidae
FOREST WAGTAIL;Forest Wagtail;Passeriformes;Motacillidae
FRIGATE;White-faced Storm-Petrel;Procellariiformes;Oceanitidae
FRILL BACK PIGEON;FRILLBACK PIGEON;Columbiformes;Columbidae
GAMBELS QUAIL;Gambel's Quail;Galliformes;Odontophoridae
GANG GANG COCKATOO;Gang-gang Cockatoo;Psittaciformes;Cacatuidae
GILA WOODPECKER;Grey-breasted Woodpecker;Piciformes;Picidae
GILDED FLICKER;Northern Flicker;Piciformes;Picidae
GLOSSY IBIS;Glossy Ibis;Pelecaniformes;Threskiornithidae
GO AWAY BIRD;Bare-faced Go-away-bird;Musophagiformes;Musophagidae
GOLD WING WARBLER;Golden-winged Warbler;Passeriformes;Parulidae
GOLDEN BOWER BIRD;Golden Bowerbird;Passeriformes;Ptilonorhynchidae
GOLDEN CHEEKED WARBLER;Golden-cheeked Warbler;Passeriformes;Parulidae
GOLDEN CHLOROPHONIA;Golden-browed Chlorophonia;Passeriformes;Fringillidae
GOLDEN EAGLE;Golden Eagle;Accipitriformes;Accipitridae
GOLDEN PARAKEET;Golden Parakeet;Psittaciformes;Psittacidae
GOLDEN PHEASANT;Golden Pheasant;Galliformes;Phasianidae
GOLDEN PIPIT;Golden Pipit;Passeriformes;Motacillidae
GOULDIAN FINCH;Gouldian Finch;Passeriformes;Estrildidae
GRANDALA;Grandala;Passeriformes;Turdidae
GRAY CATBIRD;Grey Catbird;Passeriformes;Mimidae
GRAY KINGBIRD;Grey Kingbird;Passeriformes;Tyrannidae
GRAY PARTRIDGE;Grey Francolin;Galliformes;Phasianidae
GREAT ARGUS;Great Argus;Galliformes;Phasianidae
GREAT GRAY OWL;Great Grey Owl;Strigiformes;Strigidae
GREAT JACAMAR;Great Jacamar;Piciformes;Galbulidae
GREAT KISKADEE;Great Kiskadee;Passeriformes;Tyrannidae
GREAT POTOO;Great Potoo;Caprimulgiformes;Nyctibiidae
GREAT TINAMOU;Great Tinamou;Tinamiformes;Tinamidae
GREAT XENOPS;Great Xenops;Passeriformes;Furnariidae
GREATER PEWEE;Greater Pewee;Passeriformes;Tyrannidae
GREATER PRAIRIE CHICKEN;Greater Prairie-chicken;Galliformes;Phasianidae
GREATOR SAGE GROUSE;Greater Sage-Grouse;Galliformes;Phasianidae
GREEN BROADBILL;Grauer's Broadbill;Passeriformes;Eurylaimidae
GREEN JAY;Inca Jay;Passeriformes;Corvidae
GREEN MAGPIE;Green Magpie;Passeriformes;Corvidae
GREEN WINGED DOVE;Emerald Emerald-Dove;Columbiformes;Columbidae
GREY CUCKOOSHRIKE;Grey Cuckooshrike;Passeriformes;Campephagidae
GREY HEADED CHACHALACA;Grey-headed Chachalaca;Galliformes;Cracidae
GREY HEADED FISH EAGLE;Grey-headed Fish-Eagle;Accipitriformes;Accipitridae
GREY PLOVER;Grey Plover;Charadriiformes;Charadriidae
GROVED BILLED ANI;Groove-billed Ani;Cuculiformes;Cuculidae
GUINEA TURACO;Guinea Turaco;Musophagiformes;Musophagidae
GUINEAFOWL;Helmeted Guineafowl;Galliformes;Numididae
GURNEYS PITTA;Gurney's Pitta;Passeriformes;Pittidae
GYRFALCON;Gyrfalcon;Falconiformes;Falconidae
HAMERKOP;Hamerkop;Pelecaniformes;Scopidae
HARLEQUIN DUCK;Harlequin Duck;Anseriformes;Anatidae
HARLEQUIN QUAIL;Harlequin Quail;Galliformes;Phasianidae
HARPY EAGLE;Harpy Eagle;Accipitriformes;Accipitridae
HAWAIIAN GOOSE;Nene;Anseriformes;Anatidae
HAWFINCH;Hawfinch;Passeriformes;Fringillidae
HELMET VANGA;Helmet Vanga;Passeriformes;Vangidae
HEPATIC TANAGER;Helmet Vanga;Passeriformes;Vangidae
HIMALAYAN BLUETAIL;Himalayan Bush-Robin;Passeriformes;Muscicapidae
HIMALAYAN MONAL;Himalayan Monal;Galliformes;Phasianidae
HOATZIN;Hoatzin;Opisthocomiformes;Opisthocomidae
HOODED MERGANSER;Hooded Merganser;Anseriformes;Anatidae
HOOPOES;Eurasian Hoopoe;Bucerotiformes;Upupidae
HORNED GUAN;Horned Guan;Galliformes;Cracidae
HORNED LARK;Horned Lark;Passeriformes;Alaudidae
HORNED SUNGEM;Horned Sungem;Apodiformes;Trochilidae
HOUSE FINCH;House Finch;Passeriformes;Fringillidae
HOUSE SPARROW;House Sparrow;Passeriformes;Passeridae
HYACINTH MACAW;Hyacinth Macaw;Psittaciformes;Psittacidae
IBERIAN MAGPIE;Iberian Magpie;Passeriformes;Corvidae
IBISBILL;Ibisbill;Charadriiformes;Haematopodidae
IMPERIAL SHAQ;Imperial Georgia Shag;Pelecaniformes;Phalacrocoracidae
INCA TERN;Inca Tern;Charadriiformes;Laridae
